month,day,sched_dep_time,sched_arr_time,carrier,flight,tailnum,origin,dest,air_time,distance
12,9,720,855,WN,1975,N7724A,EWR,BNA,136,748
12,9,720,1045,AA,1345,N335AA,JFK,MIA,157,1089
12,9,730,1220,B6,1289,N708JB,EWR,SJU,207,1608
12,9,727,930,EV,4166,N14904,EWR,GSP,110,594
12,9,604,838,EV,4137,N13161,EWR,ATL,132,746
12,9,730,1105,VX,183,N848VA,EWR,SFO,378,2565
12,9,730,1018,UA,652,N667UA,EWR,IAH,217,1400
12,9,730,1050,AA,33,N338AA,JFK,LAX,350,2475
12,9,729,1034,UA,450,N406UA,EWR,DFW,213,1372
12,9,730,1110,VX,11,N851VA,JFK,SFO,373,2586
12,9,745,1056,DL,2395,N370NB,LGA,PBI,148,1035
12,9,730,1035,WN,20,N738CB,LGA,HOU,243,1428
12,9,740,942,EV,4297,N12900,EWR,DTW,100,488
12,9,729,1045,UA,1455,N33292,EWR,LAX,366,2454
12,9,745,1015,DL,807,N977AT,EWR,ATL,137,746
12,9,745,1043,B6,1717,N519JB,LGA,TPA,158,1010
12,9,740,925,AA,307,N3DJAA,LGA,ORD,140,733
12,9,746,1050,B6,163,N531JB,JFK,SRQ,170,1041
12,9,745,1102,DL,440,N721TW,JFK,SEA,342,2422
12,9,748,1108,UA,327,N492UA,EWR,PDX,346,2434
12,9,737,921,B6,885,N307JB,JFK,RDU,76,427
12,9,729,845,EV,4233,N16963,EWR,BTV,46,266
12,9,754,911,B6,1307,N267JB,JFK,IAD,48,228
12,9,800,1111,B6,1511,N562JB,EWR,RSW,175,1068
12,9,705,916,EV,4155,N11109,EWR,GRR,NA,605
12,9,745,933,9E,2935,N605LR,JFK,PIT,71,340
12,9,750,1255,AA,936,N5FKAA,JFK,STT,201,1623
12,9,800,1115,DL,2190,N906DE,JFK,MIA,152,1089
12,9,800,1010,9E,2916,N601LR,JFK,DTW,98,509
12,9,756,959,US,1733,N157UW,LGA,CLT,94,544
12,9,720,1030,UA,1456,N33714,LGA,IAH,212,1416
12,9,759,1004,B6,1273,N351JB,JFK,CHS,108,636
12,9,800,1103,DL,382,N908DL,LGA,TPA,159,1010
12,9,749,1236,UA,1216,N33264,EWR,SJU,201,1608
12,9,751,928,UA,279,N411UA,EWR,ORD,132,719
12,9,759,1034,DL,2457,N369NB,LGA,MSY,192,1183
12,9,805,1111,DL,2017,N301DQ,JFK,TPA,170,1005
12,9,754,1054,UA,1115,N35407,EWR,TPA,162,997
12,9,758,1139,UA,1289,N36247,EWR,SFO,372,2565
12,9,800,915,US,2171,N762US,LGA,DCA,48,214
12,9,800,945,MQ,2809,N515MQ,LGA,STL,156,888
12,9,745,1040,MQ,3066,N523MQ,JFK,TPA,168,1005
12,9,800,938,UA,331,N817UA,LGA,ORD,133,733
12,9,800,1135,AA,59,N347AA,JFK,SFO,371,2586
12,9,755,1110,DL,874,N362NW,LGA,MIA,163,1096
12,9,800,1142,UA,397,N502UA,JFK,SFO,368,2586
12,9,800,910,AA,84,N3GYAA,JFK,BOS,42,187
12,9,809,1026,EV,4111,N13955,EWR,CHS,105,628
12,9,805,1304,AA,1357,N5FHAA,JFK,SJU,199,1598
12,9,759,1037,DL,2047,N651DL,LGA,ATL,131,762
12,9,810,954,EV,5463,N753EV,LGA,BNA,130,764
12,9,752,1046,UA,1592,N34282,EWR,MCO,144,937
12,9,800,954,9E,2932,N904XJ,JFK,RDU,80,427
12,9,630,835,US,2052,N167US,EWR,CLT,97,529
12,9,605,814,DL,1919,N999DN,LGA,MSP,176,1020
12,9,806,1035,UA,561,N514UA,LGA,DEN,258,1620
12,9,815,1123,B6,281,N183JB,JFK,HOU,224,1428
12,9,815,1114,DL,2596,N652DL,JFK,LAS,334,2248
12,9,559,718,EV,6177,N11193,EWR,IAD,49,212
12,9,755,925,WN,398,N912WN,EWR,MDW,125,711
12,9,721,945,UA,390,N415UA,EWR,MSY,183,1167
12,9,800,1115,AA,2267,N3BCAA,LGA,MIA,160,1096
12,9,805,1050,9E,3528,N298PQ,LGA,JAX,122,833
12,9,811,1012,EV,4691,N14542,EWR,DAY,105,533
12,9,805,945,MQ,3531,N824MQ,LGA,RDU,76,431
12,9,820,940,MQ,3370,N812MQ,JFK,DCA,51,213
12,9,820,1021,US,409,N653AW,EWR,CLT,100,529
12,9,822,1142,UA,1626,N15712,EWR,SAN,375,2425
12,9,830,1030,MQ,3407,N530MQ,LGA,CMH,89,479
12,9,832,1129,B6,27,N634JB,EWR,MCO,141,937
12,9,830,1037,DL,517,N337NB,EWR,MSP,164,1008
12,9,829,1055,EV,4419,N17115,EWR,XNA,209,1131
12,9,830,1153,UA,443,N505UA,JFK,LAX,362,2475
12,9,823,1201,UA,1043,N66808,EWR,PHX,339,2133
12,9,830,1106,F9,509,N210FR,LGA,DEN,257,1620
12,9,830,1005,MQ,3433,N508MQ,LGA,BNA,130,764
12,9,829,1028,B6,219,N274JB,JFK,CLT,110,541
12,9,840,1115,MQ,3419,N0EGMQ,LGA,ATL,134,762
12,9,830,1115,DL,914,N322NB,LGA,DEN,257,1620
12,9,830,1037,DL,2119,N329NW,LGA,MSP,172,1020
12,9,800,1034,9E,2924,N927XJ,JFK,MSY,198,1182
12,9,811,1106,B6,1783,N796JB,JFK,MCO,143,944
12,9,830,1105,DL,433,N3740C,JFK,ATL,134,760
12,9,825,939,9E,2901,N604LR,JFK,BOS,43,187
12,9,842,1141,B6,1025,N558JB,JFK,TPA,159,1005
12,9,845,1053,US,2071,N721UW,LGA,CLT,109,544
12,9,815,953,9E,4213,N909XJ,LGA,RIC,62,292
12,9,815,1135,DL,490,N991DL,JFK,FLL,159,1069
12,9,825,953,9E,2912,N913XJ,JFK,DCA,52,213
12,9,840,1156,UA,1496,N16713,EWR,SNA,372,2434
12,9,850,1228,B6,15,N828JB,JFK,SFO,378,2586
12,9,850,1132,UA,1643,N14118,EWR,DEN,256,1605
12,9,845,1106,EV,4087,N16987,EWR,IND,118,645
12,9,754,944,EV,4548,N14168,EWR,RDU,86,416
12,9,829,1039,EV,4638,N12967,EWR,CVG,113,569
12,9,825,1010,MQ,3363,N813MQ,JFK,RDU,82,427
12,9,854,1207,UA,1296,N39726,EWR,PBI,153,1023
12,9,900,1214,DL,970,N333NB,LGA,FLL,167,1076
12,9,859,1146,DL,1747,N919DL,LGA,ATL,129,762
12,9,845,1202,UA,701,N453UA,EWR,IAH,212,1400
12,9,900,1350,DL,404,N707TW,JFK,SJU,200,1598
12,9,850,1035,AA,313,N4WLAA,LGA,ORD,136,733
12,9,900,1210,B6,189,N615JB,JFK,SAN,365,2446
12,9,900,1227,DL,422,N723TW,JFK,LAX,362,2475
12,9,900,1030,EV,5220,N717EV,LGA,ROC,49,254
12,9,900,1016,US,2140,N952UW,LGA,BOS,45,184
12,9,849,1210,B6,795,N804JB,JFK,AUS,243,1521
12,9,900,1023,US,2173,N716UW,LGA,DCA,48,214
12,9,900,1225,AA,1,N339AA,JFK,LAX,353,2475
12,9,900,1022,B6,586,N506JB,JFK,ROC,52,264
12,9,900,1133,DL,651,N978AT,EWR,ATL,125,746
12,9,838,951,UA,594,N563UA,EWR,BOS,44,200
12,9,905,1225,VX,161,N854VA,EWR,LAX,366,2454
12,9,900,1206,B6,1701,N659JB,JFK,FLL,159,1069
12,9,839,1007,EV,4422,N12540,EWR,PIT,64,319
12,9,900,1220,AA,1121,N3BBAA,LGA,DFW,227,1389
12,9,905,1115,DL,181,N364NW,LGA,DTW,99,502
12,9,815,1035,9E,2921,N279PQ,JFK,MSP,182,1029
12,9,900,1034,UA,1030,N75851,EWR,ORD,137,719
12,9,838,952,UA,1142,N38467,EWR,BOS,42,200
12,9,854,1235,UA,1668,N27213,EWR,SFO,372,2565
12,9,910,1025,B6,1634,N193JB,JFK,BTV,48,266
12,9,859,1104,MQ,3565,N526MQ,LGA,CLT,105,544
12,9,905,1133,FL,275,N968AT,LGA,ATL,136,762
12,9,915,1056,EV,5337,N391CA,LGA,ORF,49,296
12,9,850,1213,UA,1581,N39418,EWR,SEA,353,2402
12,9,655,940,AA,1263,N3HTAA,JFK,LAS,342,2248
12,9,900,1220,AA,2335,N3CDAA,LGA,MIA,155,1096
12,9,908,1204,B6,653,N627JB,JFK,PBI,151,1028
12,9,920,1201,9E,4065,N8946A,LGA,SDF,126,659
12,9,840,1026,9E,2926,N903XJ,JFK,ORD,153,740
12,9,921,1235,B6,223,N656JB,JFK,LAX,357,2475
12,9,930,1221,B6,199,N606JB,LGA,MCO,145,950
12,9,900,1036,UA,685,N843UA,LGA,ORD,145,733
12,9,900,1017,B6,2280,N266JB,EWR,BOS,48,200
12,9,825,1005,MQ,3272,N817MQ,LGA,CLE,83,419
12,9,917,1226,UA,1170,N76265,EWR,FLL,163,1065
12,9,928,1042,UA,373,N818UA,EWR,BOS,52,200
12,9,920,1245,VX,407,N640VA,JFK,LAX,374,2475
12,9,855,1100,MQ,3478,N839MQ,LGA,DTW,98,502
12,9,925,1106,9E,2906,N928XJ,JFK,BUF,63,301
12,9,930,1535,HA,51,N380HA,JFK,HNL,622,4983
12,9,929,1242,UA,446,N487UA,EWR,MIA,167,1085
12,9,930,1237,B6,271,N658JB,LGA,FLL,160,1076
12,9,847,1211,UA,653,N815UA,EWR,LAX,365,2454
12,9,800,1103,DL,425,N709TW,JFK,MCO,147,944
12,9,930,1527,UA,15,N66051,EWR,HNL,634,4963
12,9,945,1123,9E,4274,N925XJ,LGA,MKE,129,738
12,9,945,1235,VX,251,N852VA,JFK,LAS,357,2248
12,9,925,1305,WN,2166,N288WN,EWR,AUS,252,1504
12,9,825,1029,US,1831,N188US,JFK,CLT,98,541
12,9,935,1115,WN,876,N954WN,LGA,MDW,132,725
12,9,945,1300,AA,1160,N3LBAA,LGA,MIA,163,1096
12,9,945,1130,AA,317,N3BYAA,LGA,ORD,140,733
12,9,930,1236,DL,1885,N905DE,LGA,MCO,137,950
12,9,945,1300,AA,1223,N491AA,EWR,DFW,235,1372
12,9,835,1025,EV,4628,N16151,EWR,STL,161,872
12,9,955,1217,9E,4060,N8913A,LGA,DAY,102,549
12,9,845,1155,UA,1025,N36272,LGA,IAH,227,1416
12,9,947,1430,B6,403,N715JB,JFK,SJU,195,1598
12,9,953,1256,B6,5,N517JB,EWR,FLL,159,1065
12,9,1000,1335,DL,469,N718TW,JFK,SFO,366,2586
12,9,1000,1113,US,2142,N949UW,LGA,BOS,42,184
12,9,959,1244,B6,411,N508JB,JFK,LAS,346,2248
12,9,1000,1120,US,2175,N769US,LGA,DCA,52,214
12,9,1000,1307,UA,1183,N73299,EWR,RSW,177,1068
12,9,1005,1219,DL,2319,N319US,LGA,MSP,166,1020
12,9,841,1010,EV,4409,N12172,EWR,RIC,55,277
12,9,1000,1136,UA,673,N456UA,LGA,ORD,141,733
12,9,936,1052,B6,116,N179JB,JFK,SYR,48,209
12,9,1000,1247,UA,1110,N77430,EWR,LAS,342,2227
12,9,1010,1147,UA,258,N460UA,EWR,ORD,139,719
12,9,1000,1143,EV,5208,N612QX,LGA,RIC,66,292
12,9,1005,1155,UA,1298,N35260,EWR,CLE,71,404
12,9,950,1123,FL,160,N983AT,LGA,CAK,71,397
12,9,1015,1320,DL,1174,N329NB,LGA,PBI,161,1035
12,9,1005,1212,US,1711,N711UW,LGA,CLT,100,544
12,9,950,1115,WN,218,N250WN,LGA,MKE,136,738
12,9,1000,1242,DL,1847,N914DE,LGA,ATL,132,762
12,9,812,1034,EV,4407,N13908,EWR,OMA,NA,1134
12,9,835,1051,EV,4945,N197PQ,LGA,CLT,97,544
12,9,1000,1135,MQ,3675,N849MQ,LGA,BNA,144,764
12,9,1019,1350,UA,642,N510UA,JFK,SFO,359,2586
12,9,955,1120,EV,5814,N13566,EWR,MKE,139,725
12,9,1023,1229,EV,4255,N18120,EWR,CHS,107,628
12,9,755,937,EV,4125,N36915,EWR,GSO,85,445
12,9,949,1237,B6,483,N556JB,JFK,MCO,146,944
12,9,1025,1222,US,2083,N537UW,EWR,CLT,98,529
12,9,1015,1218,US,893,N554UW,JFK,CLT,99,541
12,9,1030,1410,US,407,N571UW,JFK,PHX,328,2153
12,9,1030,1324,B6,925,N534JB,JFK,TPA,159,1005
12,9,1030,1405,VX,187,N637VA,EWR,SFO,377,2565
12,9,1034,1319,DL,420,N390DA,JFK,LAS,331,2248
12,9,946,1313,UA,578,N835UA,EWR,LAX,348,2454
12,9,1030,1340,AA,19,N332AA,JFK,LAX,353,2475
12,9,1020,1205,MQ,3466,N847MQ,LGA,RDU,73,431
12,9,1009,1319,UA,312,N485UA,LGA,IAH,229,1416
12,9,1030,1355,AA,179,N392AA,JFK,SFO,371,2586
12,9,1021,1325,B6,1,N643JB,JFK,FLL,167,1069
12,9,1030,1254,DL,838,N990AT,EWR,ATL,129,746
12,9,1015,1150,AA,325,N4YEAA,LGA,ORD,130,733
12,9,1025,1127,B6,518,N228JB,JFK,BOS,36,187
12,9,1030,1252,EV,4495,N14977,EWR,SAV,121,708
12,9,600,810,EV,4150,N22971,EWR,CVG,110,569
12,9,959,1116,EV,5711,N877AS,JFK,IAD,48,228
12,9,1030,1159,EV,4187,N14573,EWR,BNA,141,748
12,9,1000,1321,UA,418,N516UA,EWR,SFO,353,2565
12,9,1035,1405,VX,23,N634VA,JFK,SFO,371,2586
12,9,1040,1355,AA,1599,N3DCAA,LGA,MIA,155,1096
12,9,1030,1333,UA,1591,N37267,EWR,IAH,213,1400
12,9,1055,1409,DL,457,N3736C,JFK,SLC,299,1990
12,9,1100,1411,DL,499,N924DL,JFK,FLL,170,1069
12,9,1059,1258,DL,1869,N341NB,LGA,DTW,97,502
12,9,1100,1415,DL,507,N339NB,LGA,FLL,166,1076
12,9,1100,1214,US,2177,N763US,LGA,DCA,44,214
12,9,1100,1237,EV,4662,N21129,EWR,RDU,78,416
12,9,1100,1258,DL,1151,N935AT,EWR,DTW,92,488
12,9,1100,1337,DL,1647,N627DL,LGA,ATL,127,762
12,9,829,1034,EV,4537,N15572,EWR,MEM,NA,946
12,9,1105,1235,EV,5599,N730EV,LGA,ROC,49,254
12,9,1100,1210,MQ,3230,N3AEMQ,JFK,DCA,46,213
12,9,1105,1242,EV,5273,N752EV,LGA,PIT,62,335
12,9,1105,1335,WN,1250,N210WN,LGA,DEN,265,1620
12,9,1006,1125,EV,5736,N833AS,LGA,IAD,56,229
12,9,1112,1439,UA,274,N846UA,EWR,LAX,357,2454
12,9,1115,1425,AA,1139,N3AXAA,LGA,DFW,237,1389
12,9,1110,1432,DL,2098,N366NB,LGA,MIA,158,1096
12,9,1047,1245,EV,4711,N11113,EWR,STL,169,872
12,9,1122,1416,UA,1143,N77525,EWR,PBI,150,1023
12,9,1125,1315,MQ,2876,N502MQ,LGA,STL,165,888
12,9,1130,1435,AA,1623,N3HLAA,EWR,MIA,161,1085
12,9,1130,1342,DL,2219,N919DE,LGA,MSP,170,1020
12,9,905,1024,B6,208,N304JB,JFK,PWM,42,273
12,9,1030,1155,MQ,3611,N517MQ,EWR,ORD,134,719
12,9,1130,1437,DL,1875,N326NB,LGA,TPA,153,1010
12,9,955,1230,MQ,3644,N514MQ,LGA,ATL,131,762
12,9,1055,1250,MQ,3689,N512MQ,LGA,DTW,90,502
12,9,1040,1159,B6,2602,N184JB,JFK,BUF,63,301
12,9,1130,1333,9E,3312,N272PQ,EWR,MSP,175,1008
12,9,1134,1428,UA,249,N408UA,EWR,TPA,157,997
12,9,1111,1245,EV,5309,N724EV,LGA,BGR,52,378
12,9,1130,1332,US,707,N186US,LGA,CLT,101,544
12,9,1100,1210,US,2144,N959UW,LGA,BOS,39,184
12,9,1130,1327,EV,5373,N608QX,LGA,GSO,78,461
12,9,1140,1455,AA,388,N3ANAA,LGA,MIA,153,1096
12,9,1150,1406,YV,2885,N928LR,LGA,CLT,95,544
12,9,1145,1408,DL,1442,N979AT,EWR,ATL,129,746
12,9,1135,1330,MQ,3281,N9EAMQ,LGA,CMH,92,479
12,9,1145,1325,AA,327,N489AA,LGA,ORD,135,733
12,9,1059,1313,EV,4880,N707EV,LGA,MEM,163,963
12,9,1150,1439,UA,1180,N48127,EWR,MCO,148,937
12,9,942,1154,EV,5796,N17984,EWR,CLT,98,529
12,9,1200,1315,US,2179,N762US,LGA,DCA,48,214
12,9,1147,1457,B6,323,N793JB,JFK,LAX,368,2475
12,9,1200,1501,DL,1685,N359NW,LGA,MCO,140,950
12,9,1115,1346,UA,1268,N33203,LGA,DEN,271,1620
12,9,1200,1424,EV,5611,N708EV,LGA,CHS,101,641
12,9,1200,1510,AA,3,N324AA,JFK,LAX,363,2475
12,9,1206,1516,B6,1129,N598JB,JFK,RSW,177,1074
12,9,1200,1521,DL,423,N722TW,JFK,LAX,357,2475
12,9,1205,1518,DL,1785,N344NB,LGA,PBI,146,1035
12,9,1200,1400,US,2069,N105UW,JFK,CLT,102,541
12,9,1048,1354,B6,971,N763JB,LGA,FLL,156,1076
12,9,851,954,EV,4276,N16999,EWR,BDL,22,116
12,9,1156,1425,UA,565,N446UA,EWR,DEN,250,1605
12,9,1200,1308,B6,316,N307JB,JFK,SYR,45,209
12,9,1203,1506,UA,488,N428UA,EWR,IAH,214,1400
12,9,1145,1509,UA,497,N855UA,EWR,SFO,373,2565
12,9,1200,1526,UA,766,N512UA,JFK,SFO,360,2586
12,9,1215,1532,UA,1297,N23707,EWR,SNA,359,2434
12,9,1205,1330,WN,483,N755SA,EWR,MDW,134,711
12,9,1155,1355,MQ,3616,N531MQ,LGA,MSP,172,1020
12,9,841,1003,EV,3815,N11535,EWR,ROC,45,246
12,9,1220,1350,MQ,3461,N834MQ,LGA,BNA,144,764
12,9,1200,1304,B6,2380,N328JB,EWR,BOS,41,200
12,9,1015,1342,US,604,N651AW,EWR,PHX,332,2133
12,9,1230,1544,DL,406,N392DA,JFK,MIA,157,1089
12,9,1230,1516,B6,127,N632JB,EWR,MCO,151,937
12,9,1200,1441,DL,1947,N975DL,LGA,ATL,133,762
12,9,1225,1535,AA,1697,N5CLAA,JFK,MIA,162,1089
12,9,1232,1338,UA,252,N833UA,EWR,BOS,34,200
12,9,1015,1337,9E,3493,N930XJ,LGA,SRQ,167,1047
12,9,1129,1442,UA,703,N518UA,JFK,LAX,356,2475
12,9,1059,1334,EV,4679,N16911,EWR,JAX,129,820
12,9,1210,1457,9E,3508,N909XJ,LGA,JAX,130,833
12,9,1210,1324,9E,2902,N914XJ,JFK,BOS,32,187
12,9,1215,1445,MQ,3670,N6EAMQ,LGA,ATL,138,762
12,9,1244,1446,9E,3311,N8921B,EWR,DTW,94,488
12,9,1145,1315,WN,172,N262WN,LGA,MDW,135,725
12,9,1220,1400,MQ,3361,N824MQ,JFK,RDU,80,427
12,9,1255,1605,AA,1145,N3GWAA,LGA,DFW,223,1389
12,9,1251,1630,UA,998,N430UA,EWR,PHX,340,2133
12,9,1259,1601,UA,308,N473UA,EWR,MIA,166,1085
12,9,1300,1410,US,2148,N952UW,LGA,BOS,31,184
12,9,1300,1620,VX,411,N628VA,JFK,LAX,372,2475
12,9,1246,1538,B6,383,N613JB,JFK,MCO,145,944
12,9,1300,1428,UA,1734,N41135,EWR,ORD,129,719
12,9,1151,1419,FL,63,N960AT,LGA,ATL,138,762
12,9,1300,1636,DL,432,N717TW,JFK,SFO,363,2586
12,9,1259,1605,UA,1280,N16703,LGA,IAH,233,1416
12,9,1300,1535,DL,439,N355NB,JFK,ATL,140,760
12,9,1259,1614,AA,1256,N3JLAA,LGA,MIA,160,1096
12,9,1259,1546,UA,1605,N79279,EWR,LAS,345,2227
12,9,1300,1413,US,2181,N741UW,LGA,DCA,48,214
12,9,1245,1555,WN,1428,N218WN,EWR,HOU,240,1411
12,9,1229,1345,B6,1386,N192JB,JFK,ROC,55,264
12,9,1247,1614,UA,1663,N73445,EWR,SFO,377,2565
12,9,1150,1325,WN,3566,N462WN,LGA,BNA,138,764
12,9,1314,1629,B6,1639,N746JB,LGA,RSW,170,1080
12,9,1300,1540,DL,781,N960DL,LGA,ATL,139,762
12,9,1315,1445,WN,2868,N236WN,EWR,BNA,137,748
12,9,1315,1450,AA,331,N574AA,LGA,ORD,138,733
12,9,1040,1302,EV,4284,N13202,EWR,OMA,213,1134
12,9,1315,1506,US,802,N176UW,EWR,CLT,89,529
12,9,1315,1657,US,456,N652AW,JFK,PHX,345,2153
12,9,1315,1523,9E,3795,N8458A,EWR,CVG,106,569
12,9,1310,1607,B6,553,N351JB,JFK,PBI,150,1028
12,9,1236,1433,EV,4118,N15980,EWR,DTW,102,488
12,9,1310,1606,B6,505,N637JB,EWR,FLL,155,1065
12,9,1259,1501,US,2056,N157UW,LGA,CLT,98,544
12,9,910,1235,AA,1085,N640AA,JFK,MIA,156,1089
12,9,1245,1449,DL,1131,N954DL,LGA,DTW,100,502
12,9,1205,1350,MQ,3404,N506MQ,LGA,RDU,74,431
12,9,1329,1452,B6,2402,N179JB,JFK,BUF,64,301
12,9,1329,1545,EV,4395,N26549,EWR,IND,157,645
12,9,1215,1445,WN,332,N282WN,EWR,DEN,266,1605
12,9,1300,1610,VX,165,N625VA,EWR,LAX,354,2454
12,9,1345,1656,DL,1779,N900DE,LGA,FLL,157,1076
12,9,1305,1517,EV,5207,N717EV,LGA,CLT,99,544
12,9,1201,1417,EV,4567,N34110,EWR,MCI,210,1092
12,9,1200,1315,MQ,3386,N853MQ,JFK,DCA,56,213
12,9,1345,1553,US,1802,N715UW,JFK,CLT,101,541
12,9,1235,1351,9E,3340,N294PQ,LGA,SYR,47,198
12,9,1346,1650,UA,1164,N14242,EWR,FLL,154,1065
